factor,regime_0,regime_1,regime_2
MARKET,-0.0004872,-0.000578571,0.001076913
SMB,0.0008312,-6.83E-06,-0.0003
HML,0.0014656,0.00083913,-0.000187203
RMW,0.0006288,0.000381677,9.66E-05
CMA,-0.0001144,0.000862733,-0.000205145
